Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Total Penjualan,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person,Sales,Kode Sales,Nama Depan,Nama Belakang,#,SKU,Nama,Harga
Brian,Abdi,BRIAN@ymailx.com,Bau-Bau,16-07-2018,KP0225BB,"Rp90,000,000",36068,9,N/A,Cepat Kirim,Y,Tw-250,250,,,,,,,
Ago,Wibowo,Wibowo@gmailx.com,Sabang,16-07-2018,KP0625AF,"Rp96,000,000",35754,8,N/A,Pru Logistic,Y,Ew-101,101,,,,,,,
Emily,Sindoro,Sindoro@gmailx.com,Jakarta Pusat,15-07-2018,KP0625AF,"Rp96,000,000",35138,8,N/A,Swift Delivery,Y,Et-333,333,,,,,,,
Achirsyah,Setiadi,Setiadi@livex.com,Surabaya,14-07-2018,KP0350CF,"Rp210,000,000",35266,6,N/A,JENT,Y,Ng-123,123,,,,,,,
Dewi,Soraya,Dewi@icloudx.com,Mojokerto,14-07-2018,KP0625AF,"Rp96,000,000",35472,8,4,JENT,Y,Fe-123,123,,,,,,,
Jo,Onggowarsito,Jo@ymailx.com,Metro,14-07-2018,KP0350CF,"Rp245,000,000",35838,7,N/A,JENT,Y,Mm-150,150,,,,,,,
Jogi,Hermawan,Jogi@gmailx.com,Palu,13-07-2018,KP0850FB,"Rp42,000,000",35582,2,N/A,Cepat Kirim,Y,Ik-280,280,,,,,,,
James,Indra,Indra@gmailx.com,Sawahlunto,13-07-2018,KP0150BH,"Rp162,000,000",36029,6,2,Swift Delivery,Y,Wf-559,559,,,,,,,
Mochammad,Tjahjadi,Mochammad@mex.com,Cilegon,13-07-2018,KP0050AG,"Rp162,500,000",36908,10,4,Cepat Kirim,Y,Uo-500,500,,,,,,,
Lucia,Irawan,Lucia@outlookx.com,Mojokerto,07-12-2018,KP0925SG,"Rp135,000,000",35934,9,4,JENT,Y,Tt-123,123,,,,,,,
George,Hakim,George@ymailx.com,Pontianak,07-10-2018,KP0050AG,"Rp146,250,000",35165,9,N/A,Pru Logistic,Y,Lv-880,880,,,,,,,
Hilmi,Charles,Charles@gmailx.com,Bogor,07-10-2018,KP0750AJ,"Rp144,000,000",35698,8,N/A,Swift Delivery,Y,Oc-409,409,,,,,,,
Herman,Noveda,Noveda@gmailx.com,Sibolga,07-10-2018,KP0425CB,"Rp190,750,000",36455,7,5,Cepat Kirim,Y,Hi-662,662,,,,,,,
Andry,Prasetio,Prasetio@livex.com,Palembang,07-09-2018,KP0850FB,"Rp63,000,000",36363,3,N/A,JENT,Y,Ed-661,661,,,,,,,
Indra,Purna,Indra@ymailx.com,Pontianak,07-09-2018,KP0925SG,"Rp30,000,000",36610,2,5,Wakanda Express,Y,Pa-880,880,,,,,,,
Jennie,Gosal,Jennie@gmailx.com,Padang,07-08-2018,KP0850FB,"Rp210,000,000",36779,10,N/A,JENT,Y,Po-559,559,,,,,,,
Mario,Setiawan,Setiawan@rocketmailx.com,Cilegon,07-07-2018,KP0550EH,"Rp450,000,000",36448,10,4,Swift Delivery,Y,Fy-500,500,,,,,,,
Fahmi,Sutanto,Fahmi@ymailx.com,Dumai,07-05-2018,KP0050AG,"Rp48,750,000",36738,3,N/A,Wakanda Express,Y,Mi-222,222,,,,,,,
Samudra,Abdullah,Abdullah@livex.com,Bau-Bau,07-05-2018,KP0150BH,"Rp243,000,000",36953,9,N/A,Wakanda Express,N,Ug-250,250,,,,,,,
Finney,Tee,Finney@outlookx.com,Cilegon,07-03-2018,KP0925SG,"Rp60,000,000",35662,4,2,Pru Logistic,Y,Ee-500,500,,,,,,,
Hastuti,Arwin,Arwin@ymailx.com,Parepare,28-06-2018,KP0925SG,"Rp150,000,000",35735,10,N/A,Wakanda Express,Y,Wi-290,290,,,,,,,
I,Hardjono,Hardjono@ymailx.com,Pontianak,27-06-2018,KP0225BB,"Rp20,000,000",36853,2,N/A,JENT,Y,Kq-880,880,,,,,,,
Gahral,Santoso,Gahral@ymailx.com,Bandung,26-06-2018,KP0925SG,"Rp75,000,000",36664,5,4,JENT,Y,Gw-409,409,,,,,,,
Meiliana,Syarfuan,Syarfuan@outlookx.com,Binjai,25-06-2018,KP0350CF,"Rp210,000,000",35260,6,N/A,Wakanda Express,Y,Zn-662,662,,,,,,,
Made,Tjoa,Made@outlookx.com,Surakarta,24-06-2018,KP0850FB,"Rp168,000,000",36895,8,N/A,Cepat Kirim,Y,Mg-410,410,,,,,,,
Candra,Sik,Sik@outlookx.com,Kediri,21-06-2018,KP0925SG,"Rp45,000,000",35832,3,N/A,Cepat Kirim,Y,Mk-123,123,,,,,,,
Freddy,Ali,Freddy@livex.com,Sabang,19-06-2018,KP0850FB,"Rp210,000,000",35578,10,N/A,Pru Logistic,Y,Gw-101,101,,,,,,,
Philip,Setiawan,Setiawan@icloudx.com,Palembang,18-06-2018,KP0925SG,"Rp45,000,000",35101,3,4,Wakanda Express,N,Qj-661,661,,,,,,,
Harjanto,Texania,Harjanto@ymailx.com,Binjai,17-06-2018,KP0225BB,"Rp50,000,000",36315,5,N/A,JENT,Y,Xm-662,662,,,,,,,
Bambang,Soewarno,Soewarno@outlookx.com,Pangkalpinang,16-06-2018,KP0925SG,"Rp30,000,000",35345,2,4,Wakanda Express,Y,Yj-120,120,,,,,,,
Reza,Magdalena,Reza@ymailx.com,Sungai Penuh,16-06-2018,KP0750AJ,"Rp180,000,000",35028,10,N/A,JENT,N,Ca-512,512,,,,,,,
Prem,Tjahja,Prem@mex.com,Pematangsiantar,16-06-2018,KP0750AJ,"Rp90,000,000",36417,5,N/A,Cepat Kirim,N,Fd-662,662,,,,,,,
Jusuf,Wijaya,Jusuf@gmailx.com,Surabaya,06-12-2018,KP0425CB,"Rp54,500,000",35892,2,N/A,JENT,Y,Ie-123,123,,,,,,,
Johan,Rosabella,Rosabella@gmailx.com,Ambon,06-11-2018,KP0850FB,"Rp210,000,000",35032,10,4,Wakanda Express,Y,Oj-171,171,,,,,,,
Liliana,E.P.,E.P.@ymailx.com,Depok,06-09-2018,KP0225BB,"Rp80,000,000",35314,8,N/A,JENT,Y,An-409,409,,,,,,,
Rusdi,Moon-Tae,Moon-Tae@icloudx.com,Kupang,06-09-2018,KP0925SG,"Rp75,000,000",35611,5,N/A,Wakanda Express,N,Ku-185,185,,,,,,,
Rosan,Hartanto,Hartanto@mex.com,Kendari,06-08-2018,KP0925SG,"Rp45,000,000",36175,3,3,Pru Logistic,N,Iv-250,250,,,,,,,
Chang,U.,U.@gmailx.com,Batam,06-05-2018,KP0850FB,"Rp126,000,000",35276,6,N/A,JENT,Y,As-809,809,,,,,,,
Ginawan,Strachan,Strachan@gmailx.com,Jayapura,06-03-2018,KP0750AJ,"Rp144,000,000",35009,8,N/A,JENT,Y,Gt-990,990,,,,,,,
Christina,Richard,Richard@gmailx.com,Depok,06-01-2018,KP0750AJ,"Rp72,000,000",35857,4,N/A,Cepat Kirim,Y,Ah-409,409,,,,,,,
Lilyani,Muljadi,Muljadi@ymailx.com,Banjarmasin,06-01-2018,KP0750AJ,"Rp54,000,000",35851,3,N/A,Swift Delivery,Y,Xy-991,991,,,,,,,
Meiriaty,Kenneth,Meiriaty@mex.com,Surakarta,28-05-2018,KP0925SG,"Rp45,000,000",36744,3,4,Wakanda Express,Y,Ge-410,410,,,,,,,
Ronny,Pinder,Pinder@gmailx.com,Tebingtinggi,27-05-2018,KP0625AF,"Rp108,000,000",35741,9,N/A,Cepat Kirim,N,Da-662,662,,,,,,,
Rita,Haryani,Rita@icloudx.com,Padang Sidempuan,24-05-2018,KP0750AJ,"Rp180,000,000",35489,10,N/A,Swift Delivery,N,Pe-662,662,,,,,,,
Marvin,Rahardjo,Marvin@mex.com,Pagaralam,23-05-2018,KP0750AJ,"Rp126,000,000",36900,7,N/A,JENT,Y,Ld-661,661,,,,,,,
Andhika,Budihartono,Andhika@livex.com,Tebingtinggi,23-05-2018,KP0850FB,"Rp168,000,000",35823,8,N/A,Swift Delivery,Y,Ug-662,662,,,,,,,
Erics,Wen,Wen@livex.com,Balikpapan,22-05-2018,KP0425CB,"Rp81,750,000",35990,3,5,Swift Delivery,Y,Ir-993,993,,,,,,,
Para,Setiawan,Para@ymailx.com,Kupang,22-05-2018,KP0850FB,"Rp210,000,000",36433,10,N/A,JENT,N,Zg-185,185,,,,,,,
Martin,"Husodho,",Husodho@gmailx.com,Tual,20-05-2018,KP0925SG,"Rp30,000,000",36063,2,N/A,Cepat Kirim,Y,Pn-171,171,,,,,,,
Goh,Yantony,Yantony@ymailx.com,Ternate,19-05-2018,KP0425CB,"Rp218,000,000",35581,8,N/A,Pru Logistic,Y,Pt-160,160,,,,,,,
Daniel,Prijatna,Prijatna@icloudx.com,Pasuruan,19-05-2018,KP0750AJ,"Rp90,000,000",35916,5,N/A,Swift Delivery,Y,Ft-123,123,,,,,,,
Sukendar,Tanuwidjaja,Sukendar@livex.com,Tual,17-05-2018,KP0625AF,"Rp24,000,000",36252,2,N/A,JENT,N,El-171,171,,,,,,,
Indriani,Hartono,Indriani@ymailx.com,Ambon,16-05-2018,KP0850FB,"Rp189,000,000",36906,9,4,Swift Delivery,Y,An-171,171,,,,,,,
Prasodjo,Limman,LIMMAN@outlookx.com,Lhokseumawe,14-05-2018,KP0625AF,"Rp72,000,000",36339,6,4,Swift Delivery,N,Xc-101,101,,,,,,,
Edoardus,Oentoro,Edoardus@outlookx.com,Pangkalpinang,05-10-2018,KP0150BH,"Rp243,000,000",35278,9,4,JENT,Y,Az-120,120,,,,,,,
Kakan,Pascal,PASCAL@gmailx.com,Jakarta Barat,05-10-2018,KP0625AF,"Rp120,000,000",35501,10,N/A,JENT,Y,Im-333,333,,,,,,,
Gunawan,Budiono,Gunawan@ymailx.com,Padang Sidempuan,05-09-2018,KP0425CB,"Rp190,750,000",36943,7,4,JENT,Y,Cz-662,662,,,,,,,
Henry,Handajani,Handajani@ymailx.com,Sukabumi,05-09-2018,KP0150BH,"Rp108,000,000",36139,4,N/A,JENT,Y,Sm-409,409,,,,,,,
Hary,Tanuwiradjaja,Tanuwiradjaja@gmailx.com,Bogor,05-07-2018,KP0850FB,"Rp105,000,000",36461,5,5,Cepat Kirim,Y,Es-409,409,,,,,,,
Stephan,Irwan,Irwan@icloudx.com,Sungai Penuh,05-04-2018,KP0625AF,"Rp84,000,000",35295,7,N/A,Cepat Kirim,N,Sb-512,512,,,,,,,
Joachim,Susanto,Susanto@ymailx.com,Tanjungpinang,05-03-2018,KP0150BH,"Rp162,000,000",36944,6,N/A,Wakanda Express,Y,Jf-809,809,,,,,,,
Ignatius,Ramchand,Ignatius@gmailx.com,Pontianak,05-03-2018,KP0750AJ,"Rp72,000,000",36714,4,N/A,JENT,Y,Ta-880,880,,,,,,,
Eddy,Tenacious,Eddy@livex.com,Tanjungbalai,28-04-2018,KP0925SG,"Rp105,000,000",36277,7,N/A,Cepat Kirim,Y,Iy-662,662,,,,,,,
Omar,Anggono,Omar@rocketmailx.com,Sawahlunto,27-04-2018,KP0425CB,"Rp109,000,000",35591,4,N/A,Wakanda Express,N,Ac-559,559,,,,,,,
Arianto,Ciputra,CIPUTRA@gmailx.com,Ternate,26-04-2018,KP0925SG,"Rp30,000,000",36105,2,N/A,JENT,Y,Cu-160,160,,,,,,,
Joachim,Sri,Sri@gmailx.com,Blitar,26-04-2018,KP0625AF,"Rp108,000,000",36501,9,N/A,JENT,Y,Xv-123,123,,,,,,,
Muddai,Anwar,Anwar@ymailx.com,Tangerang Selatan,25-04-2018,KP0925SG,"Rp120,000,000",35451,8,N/A,Pru Logistic,Y,Bb-500,500,,,,,,,
Henky,Energy,ENERGY@ymailx.com,Tomohon,25-04-2018,KP0625AF,"Rp60,000,000",35212,5,N/A,JENT,Y,Nx-221,221,,,,,,,
Roos,Oil,Roos@ymailx.com,Meulaboh,25-04-2018,KP0150BH,"Rp243,000,000",36032,9,N/A,Cepat Kirim,N,Lv-101,101,,,,,,,
Hardi,Leban,HARDI@gmailx.com,Bengkulu,25-04-2018,KP0925SG,"Rp60,000,000",36864,4,4,Cepat Kirim,Y,Pv-300,300,,,,,,,
Septiana,Soetoyo,Septiana@gmailx.com,Pekanbaru,25-04-2018,KP0925SG,"Rp75,000,000",36945,5,1,JENT,N,Yn-222,222,,,,,,,
Jimmy,Sutiono,Jimmy@ymailx.com,Lubuklinggau,25-04-2018,KP0625AF,"Rp108,000,000",35778,9,N/A,Pru Logistic,Y,Uf-661,661,,,,,,,
Ivy,Ngaw,IVY@gmailx.com,Ambon,24-04-2018,KP0750AJ,"Rp72,000,000",36586,4,N/A,Wakanda Express,Y,Qn-171,171,,,,,,,
Bayu,Harapan,Harapan@outlookx.com,Bandung,24-04-2018,KP0625AF,"Rp48,000,000",36772,4,4,JENT,Y,Pk-409,409,,,,,,,
Lee,Su,Lee@gmailx.com,Pariaman,24-04-2018,KP0350CF,"Rp175,000,000",35759,5,3,JENT,Y,Fq-559,559,,,,,,,
Eva,Nurlaila,Nurlaila@gmailx.com,Tanjungpinang,22-04-2018,KP0925SG,"Rp135,000,000",36872,9,N/A,Cepat Kirim,Y,Ff-809,809,,,,,,,
Agung,Hakim,Hakim@ymailx.com,Bukittinggi,21-04-2018,KP0625AF,"Rp36,000,000",35657,3,N/A,Swift Delivery,Y,Be-559,559,,,,,,,
Sammy,J.B,Sammy@icloudx.com,Bitung,20-04-2018,KP0150BH,"Rp54,000,000",35267,2,4,Swift Delivery,N,Os-221,221,,,,,,,
Hendarta,Yunasri,Hendarta@gmailx.com,Magelang,18-04-2018,KP0750AJ,"Rp144,000,000",35877,8,5,Pru Logistic,Y,Uq-410,410,,,,,,,
Dr.,Mulyana,Dr.@livex.com,Padang Sidempuan,16-04-2018,KP0350CF,"Rp105,000,000",35121,3,5,Pru Logistic,Y,Ld-662,662,,,,,,,
Melissa,Nainggolan,Nainggolan@rocketmailx.com,Metro,15-04-2018,KP0225BB,"Rp100,000,000",36319,10,N/A,JENT,Y,Om-150,150,,,,,,,
Linda,Koeswojo,Koeswojo@gmailx.com,Serang,14-04-2018,KP0925SG,"Rp90,000,000",36402,6,4,Wakanda Express,Y,Es-500,500,,,,,,,
Achmad,Budiyanto,Achmad@ymailx.com,Madiun,13-04-2018,KP0150BH,"Rp243,000,000",36575,9,2,Swift Delivery,Y,Fv-123,123,,,,,,,
Pedro,Patrick,Pedro@livex.com,Mataram,13-04-2018,KP0925SG,"Rp90,000,000",36574,6,5,JENT,N,Rk-183,183,,,,,,,
Sally,Ciputra,CIPUTRA@rocketmailx.com,Cimahi,04-11-2018,KP0750AJ,"Rp36,000,000",35158,2,N/A,Swift Delivery,N,Eg-409,409,,,,,,,
Rachmat,Rachmat,RACHMAT@rocketmailx.com,Jakarta Utara,04-10-2018,KP0150BH,"Rp135,000,000",35320,5,N/A,Cepat Kirim,N,Gy-333,333,,,,,,,
Johan,Williang,Williang@ymailx.com,Bima,04-09-2018,KP0850FB,"Rp168,000,000",35282,8,N/A,Swift Delivery,Y,Nb-183,183,,,,,,,
Ninik,Hendri,Ninik@rocketmailx.com,Pasuruan,04-07-2018,KP0850FB,"Rp105,000,000",35221,5,4,JENT,N,Wn-123,123,,,,,,,
Lucia,Sjarif,Sjarif@rocketmailx.com,Padangpanjang,04-05-2018,KP0625AF,"Rp36,000,000",35863,3,4,JENT,Y,Tx-559,559,,,,,,,
Juliati,Yu-Cheng,Yu-Cheng@gmailx.com,Surabaya,04-03-2018,KP0925SG,"Rp135,000,000",35272,9,4,Swift Delivery,Y,Ly-123,123,,,,,,,
Eddy,Tjiu,Eddy@ymailx.com,Mataram,04-01-2018,KP0925SG,"Rp90,000,000",36337,6,N/A,JENT,Y,Nz-183,183,,,,,,,
A.,Djojosudirdjo,A.@gmailx.com,Metro,26-03-2018,KP0625AF,"Rp72,000,000",36926,6,N/A,Cepat Kirim,Y,Zc-150,150,,,,,,,
Faiz,Christranto,Christranto@icloudx.com,Palu,23-03-2018,KP0925SG,"Rp120,000,000",36042,8,N/A,Swift Delivery,Y,Fi-280,280,,,,,,,
Indahwaty,Aryanto,Aryanto@ymailx.com,Jayapura,21-03-2018,KP0750AJ,"Rp54,000,000",36915,3,N/A,Swift Delivery,Y,Vl-990,990,,,,,,,
Sri,Dharmaputra,Sri@livex.com,Tomohon,21-03-2018,KP0850FB,"Rp147,000,000",35005,7,N/A,JENT,N,Ry-221,221,,,,,,,
Herdin,Pierre,Pierre@ymailx.com,Banjarmasin,20-03-2018,KP0850FB,"Rp105,000,000",35498,5,N/A,Swift Delivery,Y,On-991,991,,,,,,,
Soebali,Widjaja,Widjaja@mex.com,Jambi,20-03-2018,KP0850FB,"Rp42,000,000",35811,2,4,Swift Delivery,N,Pm-512,512,,,,,,,
Andrew,H.,H.@livex.com,Tanjungpinang,19-03-2018,KP0350CF,"Rp175,000,000",36591,5,N/A,Wakanda Express,Y,Qs-809,809,,,,,,,
John,Nicolas,John@gmailx.com,Palangkaraya,17-03-2018,KP0750AJ,"Rp162,000,000",35270,9,N/A,Wakanda Express,Y,Mw-992,992,,,,,,,
Ang,Tjokrosaputro,Ang@ymailx.com,Batu,16-03-2018,KP0925SG,"Rp30,000,000",35215,2,N/A,Wakanda Express,Y,Ce-123,123,,,,,,,
Harry,Daud,Harry@ymailx.com,Tasikmalaya,16-03-2018,KP0425CB,"Rp136,250,000",35333,5,4,Swift Delivery,Y,Ph-409,409,,,,,,,
Barlianto,Soeria,Soeria@outlookx.com,Lhokseumawe,13-03-2018,KP0850FB,"Rp105,000,000",35686,5,N/A,Wakanda Express,Y,Ht-101,101,,,,,,,
Junus,Widjaja,Junus@ymailx.com,Palu,13-03-2018,KP0150BH,"Rp216,000,000",35573,8,N/A,JENT,Y,Lq-280,280,,,,,,,
Ichsanuddin,Suhendra,Suhendra@ymailx.com,Tanjungpinang,03-11-2018,KP0225BB,"Rp100,000,000",35355,10,4,Cepat Kirim,Y,Ak-809,809,,,,,,,
Dodi,Pramaditia,Dodi@ymailx.com,Bengkulu,03-11-2018,KP0350CF,"Rp315,000,000",35727,9,N/A,Wakanda Express,Y,Dt-300,300,,,,,,,
Rudy,Hartono,Rudy@gmailx.com,Jakarta Selatan,03-10-2018,KP0750AJ,"Rp180,000,000",36794,10,2,Swift Delivery,N,Er-333,333,,,,,,,
Hadysugani,Office,Hadysugani@ymailx.com,Subulussalam,03-10-2018,KP0625AF,"Rp60,000,000",35324,5,N/A,Wakanda Express,Y,Ze-101,101,,,,,,,
Handoyo,Tjipto,Handoyo@gmailx.com,Probolinggo,03-09-2018,KP0225BB,"Rp20,000,000",36996,2,N/A,Cepat Kirim,Y,Do-123,123,,,,,,,
Handy,Busono,Busono@gmailx.com,Tual,03-08-2018,KP0750AJ,"Rp162,000,000",35967,9,N/A,Swift Delivery,Y,Hp-171,171,,,,,,,
Myrna,Markart,Myrna@mex.com,Prabumulih,03-07-2018,KP0050AG,"Rp81,250,000",35328,5,4,JENT,N,Pk-661,661,,,,,,,
Jessy,M.,Jessy@gmailx.com,Tangerang Selatan,03-07-2018,KP0850FB,"Rp126,000,000",35826,6,4,JENT,Y,Wr-500,500,,,,,,,
Lily,Tjahaja,Tjahaja@gmailx.com,Tegal,03-06-2018,KP0150BH,"Rp135,000,000",36527,5,N/A,Swift Delivery,Y,Qz-410,410,,,,,,,
Jimmy,Phair,Phair@gmailx.com,Solok,03-02-2018,KP0050AG,"Rp97,500,000",35152,6,N/A,JENT,Y,Yc-559,559,,,,,,,
Sembodo,Silya,Silya@icloudx.com,Dumai,03-02-2018,KP0050AG,"Rp48,750,000",36428,3,N/A,Swift Delivery,N,Yc-222,222,,,,,,,
Raju,Halim,Raju@outlookx.com,Sawahlunto,03-02-2018,KP0625AF,"Rp36,000,000",35982,3,3,Cepat Kirim,N,Ic-559,559,,,,,,,
Rulyani,Pacific,Rulyani@mex.com,Banjar,28-02-2018,KP0925SG,"Rp150,000,000",36420,10,N/A,JENT,N,Fm-409,409,,,,,,,
Iskandar,Bisono,Iskandar@ymailx.com,Langsa,27-02-2018,KP0750AJ,"Rp36,000,000",35090,2,N/A,JENT,Y,No-101,101,,,,,,,
Anna,Kosasih,Anna@gmailx.com,Pontianak,22-02-2018,KP0050AG,"Rp162,500,000",36641,10,4,Wakanda Express,Y,Aj-880,880,,,,,,,
Le,Helvani,LE@icloudx.com,Batam,22-02-2018,KP0925SG,"Rp75,000,000",35103,5,N/A,Swift Delivery,Y,Qq-809,809,,,,,,,
Michelle,Soesanto,Soesanto@gmailx.com,Purwokerto,22-02-2018,KP0925SG,"Rp135,000,000",36464,9,N/A,Wakanda Express,Y,Eo-410,410,,,,,,,
Jacub,Sukardjo,Sukardjo@gmailx.com,Malang,18-02-2018,KP0925SG,"Rp60,000,000",35143,4,N/A,Wakanda Express,Y,Hx-123,123,,,,,,,
Ng,Wibowo,NG@icloudx.com,Sorong,17-02-2018,KP0750AJ,"Rp54,000,000",35086,3,N/A,Cepat Kirim,N,Cf-999,999,,,,,,,
Krishnan,Jusuf,Krishnan@gmailx.com,Sungai Penuh,16-02-2018,KP0150BH,"Rp270,000,000",35192,10,N/A,Pru Logistic,Y,Nw-512,512,,,,,,,
Omar,Golfiani,GOLFIANI@ymailx.com,Bukittinggi,16-02-2018,KP0350CF,"Rp280,000,000",36247,8,N/A,Wakanda Express,N,Xt-559,559,,,,,,,
Linda,Unjoto,Linda@gmailx.com,Magelang,16-02-2018,KP0750AJ,"Rp36,000,000",35768,2,1,JENT,Y,Vm-410,410,,,,,,,
Arniaty,Surya,SURYA@livex.com,Tarakan,15-02-2018,KP0850FB,"Rp147,000,000",36655,7,2,Swift Delivery,Y,Gw-994,994,,,,,,,
Gareth,Wijaya,Wijaya@icloudx.com,Tangerang Selatan,13-02-2018,KP0925SG,"Rp135,000,000",35813,9,N/A,Wakanda Express,Y,Rj-500,500,,,,,,,
Andang,Stratton,Andang@livex.com,Mojokerto,13-02-2018,KP0750AJ,"Rp36,000,000",35096,2,N/A,Pru Logistic,Y,Xs-123,123,,,,,,,
Jose,And,and@ymailx.com,Manado,02-12-2018,KP0750AJ,"Rp90,000,000",35950,5,4,JENT,Y,Mm-221,221,,,,,,,
Ismail,Mulio,Ismail@ymailx.com,Bengkulu,02-10-2018,KP0850FB,"Rp105,000,000",36955,5,4,Wakanda Express,Y,Ek-300,300,,,,,,,
Levi,Stephana,Stephana@gmailx.com,Pontianak,02-08-2018,KP0750AJ,"Rp108,000,000",36216,6,4,Wakanda Express,Y,Ik-880,880,,,,,,,
Bambang,Magdangal,Magdangal@livex.com,Padang,02-08-2018,KP0150BH,"Rp162,000,000",35516,6,N/A,Wakanda Express,Y,Jj-559,559,,,,,,,
Iroshita,Moeliana,Moeliana@gmailx.com,Parepare,02-06-2018,KP0150BH,"Rp243,000,000",35157,9,N/A,Pru Logistic,Y,Fi-290,290,,,,,,,
Anton,Lal,Anton@gmailx.com,Padang,02-06-2018,KP0150BH,"Rp108,000,000",36409,4,N/A,JENT,Y,Qo-559,559,,,,,,,
Eka,Goenawan,Eka@ymailx.com,Pekanbaru,02-05-2018,KP0850FB,"Rp42,000,000",36997,2,5,Pru Logistic,Y,Zw-222,222,,,,,,,
Adi,Tedjo,Adi@livex.com,Tebingtinggi,02-05-2018,KP0750AJ,"Rp90,000,000",36158,5,N/A,Wakanda Express,Y,Sz-662,662,,,,,,,
Evi,Capital,Capital@livex.com,Tual,02-04-2018,KP0350CF,"Rp70,000,000",36795,2,4,JENT,Y,Vt-171,171,,,,,,,
Heru,Kiemas,Heru@ymailx.com,Palangkaraya,02-01-2018,KP0150BH,"Rp189,000,000",36812,7,4,JENT,Y,Ze-992,992,,,,,,,
Sohet,Dorpi,Sohet@outlookx.com,Bontang,02-01-2018,KP0850FB,"Rp84,000,000",35537,4,3,Swift Delivery,N,Bv-993,993,,,,,,,
Ongko,Faried,Faried@outlookx.com,Palangkaraya,02-01-2018,KP0425CB,"Rp272,500,000",36413,10,N/A,JENT,N,Ms-992,992,,,,,,,
Donny,Barki,Barki@ymailx.com,Purwokerto,27-01-2018,KP0850FB,"Rp42,000,000",35363,2,N/A,Pru Logistic,Y,Bs-410,410,,,,,,,
Doni,Tjokrosaputro,Doni@gmailx.com,Metro,26-01-2018,KP0750AJ,"Rp108,000,000",36356,6,N/A,Pru Logistic,Y,Sd-150,150,,,,,,,
Ricky,Nuryono,Nuryono@outlookx.com,Jakarta Pusat,25-01-2018,KP0150BH,"Rp216,000,000",35208,8,N/A,Pru Logistic,N,Np-333,333,,,,,,,
Ravi,Ta,Ta@livex.com,Balikpapan,25-01-2018,KP0750AJ,"Rp36,000,000",36123,2,3,Pru Logistic,N,Ml-993,993,,,,,,,
Hioe,Unjoto,Unjoto@ymailx.com,Bandar Lampung,24-01-2018,KP0750AJ,"Rp108,000,000",36624,6,1,Cepat Kirim,Y,Rl-150,150,,,,,,,
Murdaya,Leo,Leo@icloudx.com,Bau-Bau,24-01-2018,KP0925SG,"Rp60,000,000",35505,4,N/A,Swift Delivery,N,Ez-250,250,,,,,,,
Hadidarma,Toi,Toi@ymailx.com,Solok,23-01-2018,KP0225BB,"Rp70,000,000",35931,7,N/A,JENT,Y,Yq-559,559,,,,,,,
Henry,Koesnadi,KOESNADI@gmailx.com,Bandar Lampung,20-01-2018,KP0150BH,"Rp270,000,000",35673,10,4,Swift Delivery,Y,Xf-150,150,,,,,,,
Florden,Moenzir,Moenzir@ymailx.com,Samarinda,19-01-2018,KP0850FB,"Rp126,000,000",35671,6,N/A,JENT,Y,Iw-993,993,,,,,,,
Harry,Sastrajaya,Harry@gmailx.com,Serang,17-01-2018,KP0750AJ,"Rp54,000,000",35346,3,N/A,Swift Delivery,Y,Ph-500,500,,,,,,,
Hendra,Valiant,Hendra@gmailx.com,Tarakan,17-01-2018,KP0750AJ,"Rp54,000,000",36583,3,N/A,Wakanda Express,Y,Mg-994,994,,,,,,,
Dicky,Raviana,Raviana@ymailx.com,Sukabumi,16-01-2018,KP0850FB,"Rp168,000,000",36594,8,N/A,Wakanda Express,Y,Aa-409,409,,,,,,,
Budi,Sie,Budi@outlookx.com,Blitar,15-01-2018,KP0925SG,"Rp90,000,000",36495,6,3,JENT,Y,Qp-123,123,,,,,,,
Achmad,C.,C.@ymailx.com,Pekanbaru,15-01-2018,KP0225BB,"Rp50,000,000",35935,5,N/A,JENT,Y,Qs-222,222,,,,,,,
Pernardi,Waty,Pernardi@outlookx.com,Sukabumi,14-01-2018,KP0150BH,"Rp54,000,000",35880,2,N/A,Cepat Kirim,N,Bt-409,409,,,,,,,
Hilary,Siddik,Hilary@gmailx.com,Tebingtinggi,13-01-2018,KP0425CB,"Rp218,000,000",35769,8,N/A,JENT,Y,Zf-662,662,,,,,,,
Dewi,Maria,Dewi@gmailx.com,Palangkaraya,13-01-2018,KP0850FB,"Rp105,000,000",36383,5,N/A,JENT,Y,Il-992,992,,,,,,,
Miranda,Kardono,Miranda@icloudx.com,Pematangsiantar,13-01-2018,KP0550EH,"Rp405,000,000",35852,9,N/A,Wakanda Express,Y,Ba-662,662,,,,,,,
Solihin,Johnny,Solihin@outlookx.com,Tidore Kepulauan,01-12-2018,KP0425CB,"Rp81,750,000",35970,3,2,Swift Delivery,N,Yc-160,160,,,,,,,
Bachrumsyah,Rion,Bachrumsyah@icloudx.com,Tual,01-10-2018,KP0350CF,"Rp140,000,000",36314,4,4,Wakanda Express,Y,Zz-171,171,,,,,,,
Ronald,Miksar,Ronald@icloudx.com,Sawahlunto,01-09-2018,KP0850FB,"Rp210,000,000",35903,10,N/A,Wakanda Express,N,Of-559,559,,,,,,,
